Furnace_temperature;Exist_temperature;Annealing_temperature;Thickness;Width;Sulfur_content;Copper_content;Nickel_content;Chromium_content;Molybdenum_content;Vanadium_content;Niobium_content;Total_Al_content;Acid_soluble_Al_content;Titanium_content;Boron_content;Tin_content;Arsenic_content;Zirconium_content;Calcium_content;Lead_content;Ceq;Pcm;Antimony_content;Nitrogen_content;Oxygen_content;Tungsten_content;yield-strength;tensile-strength;elongation
1201;861;616;2.0;1104;0.0061;0.006;0.0042;0.0064;0.0013;0.0001;0.0001;0.0331;0.0294;0.0001;0.0014;0.001;0.0023;0.0004;0.0003;0.0001;0.0572;0.0458;0.0001;0.001;0.004;0.0;177;285;45.0
1199;880;620;2.0;1214;0.011;0.0123;0.0061;0.0132;0.0028;0.0001;0.0001;0.032;0.0295;0.0004;0.0015;0.0018;0.0023;0.0005;0.0003;0.0001;0.0703;0.0553;0.0002;0.001;0.0;0.0;222;313;39.5
1207;852;555;4.0;1395;0.0125;0.2839;0.0052;0.3406;0.0013;0.0021;0.0028;0.0257;0.0219;0.0306;0.0003;0.001;0.0026;0.0024;0.001;0.0001;0.237;0.1414;0.0009;0.0;0.0;0.0;409;515;34.0
1172;868;615;2.5;1265;0.0118;0.0111;0.0047;0.0152;0.0004;0.0001;0.0006;0.0295;0.0265;0.0001;0.0001;0.0012;0.0025;0.001;0.0006;0.0006;0.07;0.05;0.0001;0.0;0.0;0.0;174;297;40.0
1192;869;624;2.0;1212;0.0111;0.0111;0.0054;0.0089;0.002;0.0001;0.0001;0.0392;0.0365;0.0001;0.0016;0.0003;0.0026;0.0002;0.0002;0.0004;0.0634;0.0502;0.0001;0.002;0.002;0.0;247;345;47.0
1219;903;647;2.8;1024;0.0077;0.0123;0.007;0.0293;0.0027;0.0007;0.0001;0.0324;0.0294;0.0504;0.0002;0.0013;0.0025;0.0004;0.0002;0.0001;0.0241;0.0121;0.0001;0.001;0.003;0.0;213;303;49.0
1227;845;555;4.0;1215;0.0135;0.2628;0.0084;0.3454;0.0026;0.0025;0.0016;0.0405;0.0387;0.0321;0.0004;0.0015;0.0027;0.001;0.0008;0.0001;0.2454;0.1515;0.0004;0.0;0.0;0.0;436;538;31.5
1182;861;547;7.1;1260;0.005;0.0113;0.0045;0.0205;0.001;0.0003;0.0001;0.0501;0.0471;0.0004;0.0002;0.0006;0.0026;0.0;0.0001;0.0001;0.2;0.14;0.0019;0.001;0.004;0.0;320;437;35.0
1211;860;619;7.5;1250;0.001;0.0133;0.0116;0.9946;0.1926;0.0026;0.0007;0.0239;0.0216;0.002;0.0002;0.0009;0.0029;0.0011;0.0022;0.0001;0.7156;0.4675;0.0001;0.004;0.002;0.0;527;827;22.5
1189;838;594;8.0;1030;0.0033;0.011;0.0066;0.0167;0.0013;0.0005;0.0009;0.0261;0.0252;0.0312;0.0001;0.0047;0.0026;0.0025;0.0007;0.0025;0.296;0.1884;0.0011;0.003;0.0;0.0;462;578;27.5
1206;870;584;3.0;1000;0.003;0.0109;0.0079;0.0153;0.0001;0.0001;0.0022;0.034;0.0333;0.0012;0.0001;0.001;0.0029;0.0061;0.0008;0.0001;0.3218;0.1663;0.0006;0.006;0.0;0.0;393;474;41.0
1258;861;602;2.5;1250;0.004;0.0113;0.0055;0.0127;0.0039;0.0001;0.0003;0.0313;0.029;0.033;0.0002;0.001;0.0027;0.001;0.0005;0.0001;0.296;0.191;0.0003;0.004;0.0;0.0;467;564;32.0
1194;883;582;2.75;1600;0.0114;0.0108;0.0043;0.0107;0.0015;0.0001;0.0001;0.024;0.0219;0.0003;0.0;0.0014;0.0024;0.0008;0.0006;0.0006;0.1116;0.0742;0.0002;0.003;0.0;0.0;282;373;44.0
1194;811;511;5.0;1115;0.0032;0.0124;0.008;0.0139;0.0001;0.0001;0.0117;0.0312;0.0279;0.013;0.0;0.0007;0.0025;0.0034;0.0008;0.0001;0.1906;0.1026;0.0002;0.002;0.0;0.0;451;481;26.5
1201;919;727;4.2;1269;0.0075;0.0143;0.0092;0.0225;0.0038;0.0011;0.0068;0.0361;0.034;0.038;0.0012;0.0018;0.0027;0.0005;0.0003;0.0019;0.0172;0.0145;0.0002;0.002;0.003;0.0;220;321;45.5
